0.,0.05,1.
0.005,0.05,0.9548192199603102
0.01,0.05,0.9135405880177516
0.015,0.05,0.8756799591087101
0.02,0.05,0.8408300315268519
0.025,0.05,0.8086456950771986
0.03,0.05,0.7788326060331041
0.035,0.05,0.7511381897444388
0.04,0.05,0.725344490058454
0.045,0.05,0.7012624381918442
0.05,0.05,0.67872722303207
0.055,0.05,0.6575945237070062
0.06,0.05,0.6377374227958169
0.065,0.05,0.6190438609791107
0.07,0.05,0.6014145255243499
0.075,0.05,0.5847610887573964
0.08,0.05,0.5690047306870715
0.085,0.05,0.5540748937263527
0.09,0.05,0.5399082280709993
0.095,0.05,0.5264476945388694
0.1,0.05,0.5136417981165973
0.105,0.05,0.501443930530488
0.11,0.05,0.4898118041730171
0.115,0.05,0.47870696291381926
0.12,0.05,0.46809435788513837
0.125,0.05,0.4579419783940523
0.13,0.05,0.4482205297829752
0.135,0.05,0.4389031514175236
0.14,0.05,0.42996516909009663
0.145,0.05,0.42138387703793234
0.15,0.05,0.4131383455247802
0.155,0.05,0.40520925055632806
0.16,0.05,0.39757872281545176
0.165,0.05,0.3902302133336106
0.17,0.05,0.38314837377479777
0.17500000000000002,0.05,0.37631894951087114
0.18,0.05,0.3697286839219061
0.185,0.05,0.3633652325706188
0.19,0.05,0.3572170860825533
0.195,0.05,0.3512735007190615
0.2,0.05,0.34552443576258457
0.20500000000000002,0.05,0.33996049694705166
0.21,0.05,0.3345728852633755
0.215,0.05,0.32935335055356285
0.22,0.05,0.3242941493789576
0.225,0.05,0.31938800671034606
0.23,0.05,0.3146280810415252
0.23500000000000001,0.05,0.31000793257469533
0.24,0.05,0.305521494166717
0.245,0.05,0.301163044760728
0.25,0.05,0.2969271850585937
